ExpenseID,PropertyID,SalesID,ExpenseDate,Year,Month,ExpenseCategory,ExpenseType,ExpenseDescription,ExpenseAmount,TaxAmount,TotalExpenseAmount,PaidBy,AllocatedTo,PaymentMode,ExpenseStatus
948,3241,2395,2023-04-13,2023,4,Marketing,Fixed,Operational Expense,170411,30673,201084,Agent,Sale,Cash,Approved
949,141,1680,2025-04-19,2025,4,Brokerage,Fixed,Operational Expense,159488,28707,188195,Agent,Sale,Online,Pending
950,972,1958,2021-06-09,2021,6,Marketing,Variable,Operational Expense,68424,12316,80740,Agent,Property,Cheque,Pending
951,501,507,2025-07-08,2025,7,Legal,Variable,Operational Expense,136866,24635,161501,Company,Sale,Online,Approved
952,3262,1910,2023-09-06,2023,9,Legal,Variable,Operational Expense,94048,16928,110976,Agent,Sale,Online,Approved
953,4717,2299,2023-06-24,2023,6,Marketing,Variable,Operational Expense,174991,31498,206489,Company,Sale,Online,Pending
954,4395,1837,2024-08-23,2024,8,Maintenance,Variable,Operational Expense,55547,9998,65545,Agent,Sale,Cash,Pending
955,3650,2014,2021-04-11,2021,4,Maintenance,Fixed,Operational Expense,110140,19825,129965,Owner,Sale,Cash,Pending
956,999,355,2022-06-21,2022,6,Legal,Variable,Operational Expense,126512,22772,149284,Company,Property,Online,Pending
957,4841,1730,2022-09-02,2022,9,Marketing,Fixed,Operational Expense,191169,34410,225579,Owner,Property,Online,Approved
958,2455,912,2023-09-02,2023,9,Brokerage,Variable,Operational Expense,162379,29228,191607,Company,Property,Cash,Approved
959,119,2389,2023-06-07,2023,6,Brokerage,Fixed,Operational Expense,40784,7341,48125,Agent,Sale,Online,Approved
960,3941,1924,2022-06-28,2022,6,Marketing,Fixed,Operational Expense,103537,18636,122173,Company,Sale,Cheque,Pending
961,3065,2490,2022-04-10,2022,4,Maintenance,Variable,Operational Expense,135325,24358,159683,Agent,Property,Online,Approved
962,2086,2458,2025-04-08,2025,4,Brokerage,Variable,Operational Expense,105431,18977,124408,Company,Property,Online,Pending
963,4335,1370,2024-08-15,2024,8,Brokerage,Fixed,Operational Expense,9978,1796,11774,Owner,Property,Cheque,Pending
964,1171,1666,2021-08-16,2021,8,Brokerage,Variable,Operational Expense,168287,30291,198578,Agent,Sale,Cheque,Approved
965,1709,1228,2023-07-25,2023,7,Marketing,Variable,Operational Expense,53770,9678,63448,Company,Sale,Cheque,Pending
966,2234,315,2023-01-07,2023,1,Maintenance,Variable,Operational Expense,38773,6979,45752,Company,Property,Cheque,Pending
967,4591,1367,2021-04-03,2021,4,Legal,Variable,Operational Expense,12126,2182,14308,Owner,Property,Online,Pending
968,4782,2449,2025-09-02,2025,9,Admin,Fixed,Operational Expense,89621,16131,105752,Agent,Sale,Cheque,Approved
969,4143,1960,2022-05-01,2022,5,Admin,Fixed,Operational Expense,106167,19110,125277,Company,Property,Online,Approved
970,2611,1461,2022-02-18,2022,2,Legal,Fixed,Operational Expense,161605,29088,190693,Agent,Sale,Online,Approved
971,1290,1690,2024-02-22,2024,2,Marketing,Fixed,Operational Expense,67990,12238,80228,Company,Sale,Cheque,Approved
972,1766,2336,2025-03-30,2025,3,Legal,Variable,Operational Expense,144208,25957,170165,Agent,Property,Cheque,Pending
973,4176,838,2022-12-25,2022,12,Legal,Variable,Operational Expense,147623,26572,174195,Company,Sale,Online,Approved
974,4668,1535,2021-07-31,2021,7,Legal,Fixed,Operational Expense,103138,18564,121702,Owner,Property,Cash,Pending
975,3460,874,2024-12-31,2024,12,Admin,Variable,Operational Expense,197247,35504,232751,Company,Property,Cheque,Approved
976,198,1776,2024-12-09,2024,12,Admin,Variable,Operational Expense,186696,33605,220301,Company,Property,Online,Approved
977,1948,663,2021-09-27,2021,9,Marketing,Variable,Operational Expense,147648,26576,174224,Company,Sale,Cheque,Approved
978,3205,792,2022-08-16,2022,8,Maintenance,Variable,Operational Expense,38837,6990,45827,Agent,Property,Online,Approved
979,4391,352,2025-10-09,2025,10,Maintenance,Fixed,Operational Expense,134627,24232,158859,Owner,Sale,Cash,Pending
980,1091,1634,2025-06-25,2025,6,Marketing,Fixed,Operational Expense,33970,6114,40084,Company,Property,Cheque,Pending
981,219,385,2022-02-16,2022,2,Brokerage,Variable,Operational Expense,15520,2793,18313,Agent,Sale,Online,Approved
982,1571,279,2025-06-14,2025,6,Marketing,Fixed,Operational Expense,142730,25691,168421,Agent,Property,Cheque,Approved
983,1489,918,2024-08-21,2024,8,Admin,Variable,Operational Expense,85927,15466,101393,Owner,Sale,Cash,Pending
984,1062,1814,2025-08-27,2025,8,Brokerage,Fixed,Operational Expense,135604,24408,160012,Company,Property,Online,Pending
985,230,2387,2021-12-19,2021,12,Maintenance,Fixed,Operational Expense,118637,21354,139991,Agent,Property,Cash,Pending
986,2879,2311,2022-06-15,2022,6,Legal,Variable,Operational Expense,27525,4954,32479,Company,Property,Cash,Pending
987,3482,492,2021-04-23,2021,4,Admin,Fixed,Operational Expense,89069,16032,105101,Company,Property,Online,Pending
988,283,1926,2021-01-07,2021,1,Admin,Fixed,Operational Expense,57861,10414,68275,Company,Sale,Cash,Pending
989,2852,2049,2024-04-16,2024,4,Brokerage,Fixed,Operational Expense,144281,25970,170251,Agent,Property,Online,Approved
990,1873,426,2022-01-09,2022,1,Admin,Variable,Operational Expense,11991,2158,14149,Owner,Sale,Cheque,Approved
991,2788,445,2022-07-01,2022,7,Admin,Variable,Operational Expense,40974,7375,48349,Company,Property,Online,Pending
992,943,441,2025-02-25,2025,2,Maintenance,Variable,Operational Expense,16911,3043,19954,Company,Property,Online,Approved
993,3672,2163,2023-02-22,2023,2,Admin,Fixed,Operational Expense,168053,30249,198302,Agent,Sale,Cheque,Approved
994,1108,1641,2025-02-21,2025,2,Maintenance,Fixed,Operational Expense,161347,29042,190389,Agent,Sale,Cheque,Pending
995,3492,518,2025-08-04,2025,8,Maintenance,Fixed,Operational Expense,85781,15440,101221,Owner,Property,Cash,Approved
996,4122,2069,2023-06-23,2023,6,Maintenance,Variable,Operational Expense,35552,6399,41951,Owner,Sale,Cheque,Approved
997,730,264,2024-11-15,2024,11,Brokerage,Variable,Operational Expense,77955,14031,91986,Owner,Sale,Online,Approved
998,7,2450,2023-07-07,2023,7,Marketing,Fixed,Operational Expense,7734,1392,9126,Agent,Property,Cheque,Approved
999,4922,1218,2024-01-05,2024,1,Legal,Fixed,Operational Expense,43266,7787,51053,Agent,Property,Cheque,Approved
1000,3932,2368,2022-09-16,2022,9,Admin,Variable,Operational Expense,114736,20652,135388,Company,Property,Online,Pending
1001,1372,960,2025-12-17,2025,12,Marketing,Variable,Operational Expense,109393,19690,129083,Owner,Property,Cheque,Approved
1002,994,153,2023-02-15,2023,2,Marketing,Fixed,Operational Expense,180916,32564,213480,Company,Property,Cash,Pending
1003,633,1139,2021-05-01,2021,5,Admin,Variable,Operational Expense,88004,15840,103844,Agent,Property,Cheque,Pending
1004,1953,1833,2023-04-28,2023,4,Maintenance,Fixed,Operational Expense,189406,34093,223499,Agent,Sale,Cash,Approved
1005,1726,1502,2023-10-28,2023,10,Marketing,Fixed,Operational Expense,120822,21747,142569,Agent,Property,Cash,Pending
1006,3330,1984,2024-07-02,2024,7,Marketing,Fixed,Operational Expense,104358,18784,123142,Agent,Sale,Cheque,Approved
1007,1215,493,2021-06-04,2021,6,Admin,Variable,Operational Expense,170843,30751,201594,Owner,Property,Cash,Approved
1008,1977,1594,2021-07-30,2021,7,Brokerage,Variable,Operational Expense,191436,34458,225894,Owner,Property,Online,Pending
1009,1435,2101,2025-04-23,2025,4,Maintenance,Variable,Operational Expense,95168,17130,112298,Agent,Property,Cash,Pending
1010,885,635,2025-04-19,2025,4,Maintenance,Fixed,Operational Expense,183451,33021,216472,Company,Sale,Cash,Approved
1011,1997,938,2022-10-03,2022,10,Maintenance,Fixed,Operational Expense,104920,18885,123805,Agent,Property,Cash,Pending
1012,4030,961,2024-01-10,2024,1,Brokerage,Variable,Operational Expense,67988,12237,80225,Company,Sale,Cash,Pending
1013,742,1425,2024-09-03,2024,9,Brokerage,Variable,Operational Expense,130876,23557,154433,Owner,Property,Cheque,Approved
1014,3533,930,2025-10-12,2025,10,Legal,Fixed,Operational Expense,180653,32517,213170,Owner,Property,Online,Approved
1015,2700,667,2022-12-18,2022,12,Maintenance,Variable,Operational Expense,174259,31366,205625,Owner,Property,Cheque,Pending
1016,373,1867,2021-03-11,2021,3,Legal,Variable,Operational Expense,156045,28088,184133,Company,Sale,Cash,Approved
1017,4665,1575,2022-04-19,2022,4,Admin,Fixed,Operational Expense,114303,20574,134877,Agent,Sale,Cash,Pending
1018,2391,1099,2023-09-13,2023,9,Brokerage,Variable,Operational Expense,64688,11643,76331,Owner,Property,Cash,Approved
1019,3977,1226,2025-02-13,2025,2,Maintenance,Variable,Operational Expense,184032,33125,217157,Owner,Property,Online,Approved
1020,1973,1452,2025-04-01,2025,4,Admin,Variable,Operational Expense,100510,18091,118601,Agent,Property,Online,Pending
1021,633,1493,2023-07-16,2023,7,Brokerage,Variable,Operational Expense,74288,13371,87659,Owner,Property,Cheque,Pending
1022,4007,1529,2022-04-06,2022,4,Marketing,Fixed,Operational Expense,73765,13277,87042,Company,Property,Cash,Pending
1023,1885,1804,2022-06-19,2022,6,Brokerage,Variable,Operational Expense,188406,33913,222319,Owner,Sale,Online,Approved
1024,4574,2327,2024-03-21,2024,3,Maintenance,Fixed,Operational Expense,12406,2233,14639,Company,Property,Online,Pending
1025,200,133,2021-04-02,2021,4,Maintenance,Fixed,Operational Expense,107499,19349,126848,Owner,Sale,Cheque,Pending
1026,3086,2391,2023-08-19,2023,8,Legal,Variable,Operational Expense,172278,31010,203288,Owner,Property,Online,Pending
1027,3745,2391,2024-07-27,2024,7,Legal,Variable,Operational Expense,192627,34672,227299,Agent,Sale,Cheque,Pending
1028,3924,1283,2023-10-26,2023,10,Maintenance,Variable,Operational Expense,57024,10264,67288,Company,Property,Cheque,Pending
1029,2126,2281,2021-09-19,2021,9,Marketing,Variable,Operational Expense,38510,6931,45441,Owner,Property,Cash,Pending
1030,909,1224,2021-08-12,2021,8,Admin,Variable,Operational Expense,141835,25530,167365,Owner,Sale,Online,Approved
1031,2205,1017,2021-11-05,2021,11,Maintenance,Variable,Operational Expense,73036,13146,86182,Agent,Property,Cheque,Pending
1032,700,117,2022-09-20,2022,9,Brokerage,Variable,Operational Expense,163648,29456,193104,Owner,Property,Cheque,Pending
1033,2388,1007,2023-03-10,2023,3,Brokerage,Variable,Operational Expense,156675,28201,184876,Owner,Property,Cheque,Approved
1034,2761,2470,2024-02-27,2024,2,Maintenance,Variable,Operational Expense,36191,6514,42705,Company,Sale,Online,Approved
1035,4799,2163,2025-09-16,2025,9,Marketing,Fixed,Operational Expense,104012,18722,122734,Company,Sale,Cheque,Approved
1036,1248,376,2023-07-25,2023,7,Maintenance,Fixed,Operational Expense,89707,16147,105854,Agent,Sale,Cash,Pending
1037,2394,2498,2025-12-28,2025,12,Legal,Fixed,Operational Expense,150413,27074,177487,Agent,Property,Online,Pending
1038,1865,1800,2021-12-23,2021,12,Maintenance,Variable,Operational Expense,103249,18584,121833,Owner,Property,Online,Pending
1039,792,898,2023-04-13,2023,4,Admin,Fixed,Operational Expense,28796,5183,33979,Agent,Sale,Online,Pending
1040,1357,563,2023-05-23,2023,5,Marketing,Variable,Operational Expense,39285,7071,46356,Company,Property,Cash,Approved
1041,2686,738,2021-05-22,2021,5,Admin,Variable,Operational Expense,41536,7476,49012,Company,Property,Online,Approved
1042,3367,2308,2024-01-26,2024,1,Maintenance,Variable,Operational Expense,133092,23956,157048,Agent,Property,Cheque,Pending
1043,1924,279,2023-02-16,2023,2,Brokerage,Fixed,Operational Expense,146056,26290,172346,Agent,Sale,Cheque,Pending
1044,1503,163,2022-09-14,2022,9,Maintenance,Fixed,Operational Expense,153142,27565,180707,Agent,Sale,Online,Pending
1045,4016,2398,2022-09-08,2022,9,Admin,Fixed,Operational Expense,50241,9043,59284,Agent,Sale,Cheque,Pending
1046,2505,475,2025-05-16,2025,5,Admin,Variable,Operational Expense,189953,34191,224144,Company,Sale,Cash,Approved
1047,635,1321,2021-01-06,2021,1,Admin,Variable,Operational Expense,71450,12861,84311,Company,Property,Online,Pending
1048,2417,460,2025-11-25,2025,11,Maintenance,Variable,Operational Expense,153124,27562,180686,Agent,Sale,Cheque,Approved
1049,1693,314,2024-12-26,2024,12,Brokerage,Variable,Operational Expense,119507,21511,141018,Owner,Sale,Online,Pending
1050,1014,1347,2024-05-16,2024,5,Maintenance,Variable,Operational Expense,25181,4532,29713,Company,Property,Online,Pending
1051,652,2142,2023-10-07,2023,10,Maintenance,Variable,Operational Expense,28263,5087,33350,Owner,Sale,Online,Approved
1052,4680,352,2025-01-31,2025,1,Maintenance,Variable,Operational Expense,167175,30091,197266,Company,Sale,Online,Approved
1053,4967,1349,2022-03-11,2022,3,Brokerage,Variable,Operational Expense,72870,13116,85986,Company,Property,Cash,Approved
1054,3698,2217,2023-01-17,2023,1,Maintenance,Variable,Operational Expense,129501,23310,152811,Agent,Sale,Cheque,Pending
1055,1447,641,2024-06-28,2024,6,Admin,Fixed,Operational Expense,71473,12865,84338,Company,Sale,Cash,Approved
1056,534,1799,2022-07-27,2022,7,Maintenance,Fixed,Operational Expense,22047,3968,26015,Company,Sale,Cash,Pending
1057,1994,1810,2024-09-08,2024,9,Maintenance,Variable,Operational Expense,159219,28659,187878,Owner,Sale,Online,Pending
1058,178,1605,2022-07-24,2022,7,Maintenance,Variable,Operational Expense,175320,31557,206877,Company,Property,Online,Approved
1059,395,2233,2021-07-02,2021,7,Legal,Variable,Operational Expense,144597,26027,170624,Agent,Property,Cash,Approved
1060,3091,1705,2025-01-02,2025,1,Legal,Variable,Operational Expense,119684,21543,141227,Company,Sale,Online,Pending
1061,4142,1894,2021-03-22,2021,3,Legal,Variable,Operational Expense,154137,27744,181881,Agent,Sale,Online,Pending
1062,2230,1005,2024-05-11,2024,5,Maintenance,Fixed,Operational Expense,178903,32202,211105,Owner,Sale,Cheque,Pending
1063,804,1685,2023-04-07,2023,4,Brokerage,Fixed,Operational Expense,131748,23714,155462,Agent,Sale,Cash,Approved
1064,1910,468,2022-04-24,2022,4,Admin,Variable,Operational Expense,157975,28435,186410,Agent,Property,Cash,Pending
1065,1423,1149,2023-10-19,2023,10,Legal,Variable,Operational Expense,130203,23436,153639,Owner,Property,Cheque,Approved
1066,1370,2392,2022-11-06,2022,11,Maintenance,Fixed,Operational Expense,144355,25983,170338,Owner,Property,Cash,Approved
1067,3125,653,2022-03-09,2022,3,Legal,Variable,Operational Expense,119692,21544,141236,Owner,Property,Cash,Approved
1068,2070,1555,2025-09-09,2025,9,Legal,Fixed,Operational Expense,164770,29658,194428,Agent,Property,Cheque,Pending
1069,3713,2113,2021-12-30,2021,12,Marketing,Variable,Operational Expense,139511,25111,164622,Company,Sale,Cash,Pending
1070,4163,732,2021-04-08,2021,4,Marketing,Variable,Operational Expense,59194,10654,69848,Company,Sale,Cash,Pending
1071,3454,1160,2023-02-21,2023,2,Marketing,Fixed,Operational Expense,169720,30549,200269,Owner,Property,Online,Pending
1072,3658,1922,2024-07-21,2024,7,Marketing,Fixed,Operational Expense,106395,19151,125546,Agent,Property,Online,Approved
1073,2,321,2022-08-16,2022,8,Maintenance,Fixed,Operational Expense,27239,4903,32142,Owner,Sale,Cash,Pending
1074,1338,1492,2022-02-23,2022,2,Admin,Variable,Operational Expense,86786,15621,102407,Company,Sale,Online,Approved
1075,390,2038,2023-09-20,2023,9,Brokerage,Fixed,Operational Expense,163347,29402,192749,Company,Property,Cash,Approved
1076,3592,2255,2021-05-31,2021,5,Admin,Fixed,Operational Expense,41744,7513,49257,Agent,Sale,Cash,Approved
1077,2245,1984,2024-02-02,2024,2,Legal,Variable,Operational Expense,14609,2629,17238,Owner,Property,Cheque,Approved
1078,2119,1060,2022-01-30,2022,1,Admin,Fixed,Operational Expense,185701,33426,219127,Owner,Sale,Cheque,Pending
1079,1280,632,2022-08-06,2022,8,Maintenance,Fixed,Operational Expense,89442,16099,105541,Company,Property,Cheque,Approved
1080,891,1075,2025-08-06,2025,8,Admin,Variable,Operational Expense,172074,30973,203047,Owner,Sale,Cash,Approved
1081,755,1950,2024-02-25,2024,2,Maintenance,Fixed,Operational Expense,59563,10721,70284,Agent,Property,Cheque,Approved
1082,2430,289,2025-04-19,2025,4,Brokerage,Variable,Operational Expense,76678,13802,90480,Company,Property,Online,Pending
1083,346,1725,2024-12-18,2024,12,Maintenance,Variable,Operational Expense,45029,8105,53134,Company,Sale,Cash,Pending
1084,783,1728,2023-01-02,2023,1,Marketing,Variable,Operational Expense,38910,7003,45913,Owner,Sale,Online,Pending
1085,2613,847,2022-10-18,2022,10,Admin,Fixed,Operational Expense,170872,30756,201628,Owner,Property,Cash,Pending
1086,926,1737,2023-12-11,2023,12,Legal,Fixed,Operational Expense,35449,6380,41829,Company,Property,Online,Approved
1087,1881,1614,2021-10-20,2021,10,Admin,Variable,Operational Expense,70511,12691,83202,Agent,Property,Cheque,Approved
1088,562,816,2023-07-02,2023,7,Admin,Variable,Operational Expense,104289,18772,123061,Company,Property,Online,Pending
1089,301,1626,2023-11-25,2023,11,Maintenance,Fixed,Operational Expense,98595,17747,116342,Owner,Property,Online,Pending
1090,1609,1680,2024-09-28,2024,9,Admin,Variable,Operational Expense,149968,26994,176962,Agent,Sale,Online,Approved
1091,4097,1784,2021-06-20,2021,6,Brokerage,Variable,Operational Expense,152660,27478,180138,Company,Sale,Cheque,Pending
1092,968,136,2024-05-04,2024,5,Brokerage,Fixed,Operational Expense,177201,31896,209097,Company,Sale,Cash,Pending
1093,595,46,2021-12-19,2021,12,Maintenance,Variable,Operational Expense,6230,1121,7351,Agent,Sale,Cash,Approved
1094,2497,1416,2024-04-26,2024,4,Brokerage,Fixed,Operational Expense,48098,8657,56755,Agent,Sale,Cash,Approved
1095,944,129,2025-03-06,2025,3,Marketing,Fixed,Operational Expense,118086,21255,139341,Agent,Property,Cheque,Approved
1096,1483,330,2025-06-10,2025,6,Brokerage,Fixed,Operational Expense,24695,4445,29140,Company,Sale,Cash,Pending
1097,3214,1982,2024-10-29,2024,10,Marketing,Fixed,Operational Expense,183643,33055,216698,Company,Sale,Online,Approved
1098,4538,861,2023-07-25,2023,7,Admin,Fixed,Operational Expense,14153,2547,16700,Agent,Sale,Online,Approved
1099,4433,711,2022-05-07,2022,5,Legal,Variable,Operational Expense,124604,22428,147032,Owner,Sale,Cheque,Pending
1100,3569,2168,2025-03-07,2025,3,Maintenance,Fixed,Operational Expense,142577,25663,168240,Agent,Property,Cheque,Pending
1101,4851,1805,2025-05-06,2025,5,Legal,Variable,Operational Expense,76269,13728,89997,Company,Property,Online,Pending
1102,483,2281,2023-07-07,2023,7,Maintenance,Fixed,Operational Expense,66536,11976,78512,Agent,Sale,Online,Approved
1103,626,2429,2025-03-03,2025,3,Brokerage,Fixed,Operational Expense,67463,12143,79606,Company,Property,Cash,Approved
1104,2368,2388,2023-05-30,2023,5,Maintenance,Fixed,Operational Expense,185778,33440,219218,Owner,Property,Cash,Approved
1105,4125,2491,2025-03-20,2025,3,Brokerage,Fixed,Operational Expense,178127,32062,210189,Company,Property,Cheque,Pending
1106,3572,326,2023-01-23,2023,1,Admin,Variable,Operational Expense,16310,2935,19245,Company,Property,Cash,Approved
1107,3422,1034,2023-02-06,2023,2,Brokerage,Fixed,Operational Expense,40138,7224,47362,Company,Property,Online,Pending
1108,1526,497,2025-12-03,2025,12,Brokerage,Variable,Operational Expense,153870,27696,181566,Agent,Sale,Cash,Approved
1109,1065,1926,2025-03-06,2025,3,Maintenance,Fixed,Operational Expense,27417,4935,32352,Agent,Property,Cash,Pending
1110,64,307,2021-05-02,2021,5,Maintenance,Fixed,Operational Expense,142554,25659,168213,Company,Property,Cheque,Approved
1111,2210,1829,2025-04-11,2025,4,Legal,Fixed,Operational Expense,175685,31623,207308,Company,Sale,Online,Pending
1112,4088,535,2025-08-02,2025,8,Admin,Fixed,Operational Expense,39185,7053,46238,Agent,Property,Online,Approved
1113,2,1792,2024-11-22,2024,11,Maintenance,Variable,Operational Expense,84563,15221,99784,Company,Sale,Cheque,Pending
1114,2272,1986,2025-04-12,2025,4,Legal,Variable,Operational Expense,13494,2428,15922,Agent,Property,Cheque,Pending
1115,1813,1576,2024-09-06,2024,9,Maintenance,Fixed,Operational Expense,157175,28291,185466,Agent,Property,Cheque,Pending
1116,2304,541,2025-10-20,2025,10,Marketing,Variable,Operational Expense,70339,12661,83000,Owner,Property,Cheque,Approved
1117,3086,1628,2024-02-20,2024,2,Marketing,Variable,Operational Expense,174418,31395,205813,Agent,Property,Cash,Approved
1118,1531,608,2021-07-09,2021,7,Brokerage,Fixed,Operational Expense,121527,21874,143401,Agent,Property,Cash,Approved
1119,4254,1689,2022-07-08,2022,7,Legal,Variable,Operational Expense,22219,3999,26218,Agent,Property,Cheque,Approved
1120,3449,187,2024-02-23,2024,2,Brokerage,Fixed,Operational Expense,172148,30986,203134,Company,Sale,Cheque,Approved
1121,1475,725,2024-12-26,2024,12,Maintenance,Fixed,Operational Expense,141186,25413,166599,Agent,Property,Cash,Pending
1122,3904,814,2024-03-02,2024,3,Brokerage,Fixed,Operational Expense,124571,22422,146993,Agent,Sale,Online,Pending
1123,2948,1549,2024-06-17,2024,6,Marketing,Variable,Operational Expense,182081,32774,214855,Company,Sale,Cheque,Approved
1124,2191,2059,2022-04-17,2022,4,Brokerage,Variable,Operational Expense,83749,15074,98823,Company,Sale,Online,Approved
1125,3202,1540,2024-06-05,2024,6,Marketing,Fixed,Operational Expense,192794,34702,227496,Agent,Property,Cheque,Approved
1126,4462,2431,2025-08-12,2025,8,Brokerage,Fixed,Operational Expense,173923,31306,205229,Agent,Property,Cheque,Pending
1127,26,1931,2023-08-15,2023,8,Marketing,Fixed,Operational Expense,170710,30727,201437,Agent,Sale,Online,Pending
1128,4853,137,2021-06-10,2021,6,Legal,Fixed,Operational Expense,121234,21822,143056,Agent,Property,Cheque,Approved
1129,2216,1432,2021-08-27,2021,8,Marketing,Variable,Operational Expense,144110,25939,170049,Owner,Sale,Cheque,Approved
1130,49,2345,2023-11-21,2023,11,Brokerage,Variable,Operational Expense,42259,7606,49865,Agent,Sale,Cheque,Pending
1131,2643,230,2021-07-13,2021,7,Marketing,Fixed,Operational Expense,51813,9326,61139,Owner,Sale,Cash,Approved
1132,4168,90,2024-10-29,2024,10,Legal,Variable,Operational Expense,14484,2607,17091,Owner,Sale,Cheque,Pending
1133,3985,1518,2024-02-18,2024,2,Admin,Fixed,Operational Expense,77144,13885,91029,Company,Property,Cheque,Pending
1134,1258,1972,2024-10-01,2024,10,Admin,Variable,Operational Expense,180922,32565,213487,Company,Property,Cheque,Approved
1135,65,1913,2025-11-11,2025,11,Admin,Fixed,Operational Expense,174564,31421,205985,Agent,Property,Cheque,Pending
1136,409,377,2023-11-24,2023,11,Marketing,Variable,Operational Expense,154846,27872,182718,Agent,Sale,Online,Approved
1137,1995,497,2024-01-27,2024,1,Brokerage,Fixed,Operational Expense,38599,6947,45546,Agent,Property,Cash,Approved
1138,253,2106,2023-09-06,2023,9,Marketing,Variable,Operational Expense,5533,995,6528,Company,Sale,Cheque,Pending
1139,3633,2164,2025-02-11,2025,2,Maintenance,Fixed,Operational Expense,14327,2578,16905,Agent,Sale,Cheque,Approved
1140,2451,339,2021-08-11,2021,8,Maintenance,Fixed,Operational Expense,76342,13741,90083,Agent,Property,Cheque,Approved
1141,3307,1757,2023-02-19,2023,2,Maintenance,Fixed,Operational Expense,123863,22295,146158,Agent,Property,Cheque,Approved
1142,220,1413,2021-01-08,2021,1,Marketing,Variable,Operational Expense,167446,30140,197586,Agent,Property,Online,Approved
1143,2184,871,2025-07-29,2025,7,Legal,Variable,Operational Expense,130582,23504,154086,Company,Property,Online,Pending
1144,4741,1244,2022-03-02,2022,3,Maintenance,Fixed,Operational Expense,70129,12623,82752,Agent,Sale,Online,Approved
1145,2188,2045,2023-12-19,2023,12,Admin,Variable,Operational Expense,36413,6554,42967,Owner,Sale,Online,Pending
1146,4370,1991,2021-04-18,2021,4,Brokerage,Variable,Operational Expense,6893,1240,8133,Agent,Property,Cheque,Pending
1147,733,993,2023-03-09,2023,3,Maintenance,Fixed,Operational Expense,113749,20474,134223,Owner,Property,Cheque,Pending
1148,1790,476,2024-08-03,2024,8,Legal,Fixed,Operational Expense,106406,19153,125559,Owner,Property,Cash,Approved
1149,4395,32,2022-01-19,2022,1,Legal,Fixed,Operational Expense,169814,30566,200380,Company,Property,Online,Approved
1150,1787,906,2023-05-02,2023,5,Legal,Fixed,Operational Expense,89464,16103,105567,Agent,Sale,Cheque,Pending
1151,1591,328,2023-07-20,2023,7,Brokerage,Fixed,Operational Expense,109593,19726,129319,Company,Property,Cheque,Pending
1152,3111,638,2023-01-22,2023,1,Legal,Variable,Operational Expense,189608,34129,223737,Owner,Property,Online,Approved
1153,3041,1939,2022-06-05,2022,6,Brokerage,Fixed,Operational Expense,197871,35616,233487,Company,Property,Cash,Approved
1154,4505,1801,2022-02-01,2022,2,Brokerage,Variable,Operational Expense,138043,24847,162890,Company,Sale,Cash,Pending
1155,4919,168,2022-04-07,2022,4,Brokerage,Variable,Operational Expense,78469,14124,92593,Agent,Property,Cash,Approved
1156,2513,907,2021-09-03,2021,9,Marketing,Variable,Operational Expense,75747,13634,89381,Agent,Sale,Cash,Approved
1157,1802,1799,2023-09-27,2023,9,Legal,Variable,Operational Expense,37292,6712,44004,Owner,Sale,Cheque,Pending
1158,323,1534,2021-08-19,2021,8,Legal,Variable,Operational Expense,95171,17130,112301,Agent,Property,Cash,Pending
1159,4482,490,2023-06-20,2023,6,Admin,Fixed,Operational Expense,44700,8046,52746,Owner,Property,Online,Approved
1160,4100,1387,2024-04-02,2024,4,Legal,Variable,Operational Expense,163514,29432,192946,Agent,Property,Online,Pending
1161,1032,603,2022-08-27,2022,8,Maintenance,Variable,Operational Expense,67074,12073,79147,Company,Sale,Cheque,Pending
1162,424,189,2025-07-22,2025,7,Admin,Fixed,Operational Expense,179839,32371,212210,Owner,Property,Cash,Approved
1163,2914,2051,2021-12-29,2021,12,Maintenance,Variable,Operational Expense,32028,5765,37793,Agent,Property,Cheque,Approved
1164,3739,283,2025-03-13,2025,3,Brokerage,Fixed,Operational Expense,96577,17383,113960,Company,Sale,Cash,Approved
1165,3656,1283,2021-04-23,2021,4,Brokerage,Variable,Operational Expense,146548,26378,172926,Company,Property,Cheque,Pending
1166,2120,2421,2024-01-24,2024,1,Admin,Variable,Operational Expense,116358,20944,137302,Agent,Property,Online,Pending
1167,3589,1335,2022-11-28,2022,11,Legal,Variable,Operational Expense,119477,21505,140982,Company,Property,Cheque,Approved
1168,1715,1007,2021-12-19,2021,12,Admin,Variable,Operational Expense,198513,35732,234245,Agent,Property,Cash,Approved
1169,2423,1111,2023-08-04,2023,8,Marketing,Variable,Operational Expense,154026,27724,181750,Agent,Sale,Cheque,Pending
1170,4361,2158,2025-08-24,2025,8,Admin,Fixed,Operational Expense,63164,11369,74533,Company,Sale,Cash,Approved
1171,4887,287,2023-01-22,2023,1,Admin,Variable,Operational Expense,8827,1588,10415,Company,Property,Cash,Pending
1172,4763,1000,2021-11-25,2021,11,Maintenance,Variable,Operational Expense,159600,28728,188328,Company,Sale,Cheque,Approved
1173,1044,2352,2022-04-19,2022,4,Legal,Variable,Operational Expense,103630,18653,122283,Company,Property,Online,Approved
1174,387,2173,2022-05-24,2022,5,Legal,Variable,Operational Expense,127759,22996,150755,Owner,Property,Cheque,Pending
1175,13,944,2022-04-05,2022,4,Legal,Fixed,Operational Expense,107759,19396,127155,Company,Sale,Cash,Approved
